Task ID,Module,Sub-Module,Task Name,Description,Priority,Status,Dependencies,API Endpoint,Test Type
TC-211,Frontend UI,History Tab,Pipeline run history list,Past runs with status badges and metrics,P0,Implemented,,,UI
TC-212,Frontend UI,BDD Testing Tab,Feature editor with live preview,Write and preview Gherkin features,P0,Implemented,,,UI
TC-213,Frontend UI,BDD Testing Tab,Feature list with filters,Browse features by status / project,P0,Implemented,,,UI
TC-214,Frontend UI,BDD Testing Tab,Run execution panel,Browser / mode / tag / worker selection and run button,P0,Implemented,,,UI
TC-215,Frontend UI,BDD Testing Tab,Live streaming output,Real-time step execution results via SSE,P0,Implemented,,,UI
TC-216,Frontend UI,BDD Testing Tab,Step library manager,Create / edit / delete custom step definitions,P0,Implemented,,,UI
TC-217,Frontend UI,BDD Testing Tab,Schedule manager,Create / edit / enable-disable cron schedules,P1,Implemented,,,UI
TC-218,Frontend UI,BDD Testing Tab,Screenplay editor,Create tasks / actions / questions with presets,P1,Implemented,,,UI
TC-219,Frontend UI,BDD Testing Tab,Test case converter,Upload CSV/TXT or paste content for Gherkin conversion,P0,Implemented,,,UI
TC-220,Database,Models,JiraConfig model,Store Jira credentials per user/org with unique constraint,P0,Implemented,,,Schema
TC-221,Database,Models,WorkflowRun model,Track pipeline execution with status / progress / results,P0,Implemented,,,Schema
TC-222,Database,Models,BDDFeature model,Store Gherkin features with user / org / project scoping,P0,Implemented,,,Schema
TC-223,Database,Models,BDDScenario model,Store scenarios with type / tags / examples data,P0,Implemented,,,Schema
TC-224,Database,Models,BDDStep model,Store steps with keyword / text / data table / doc string,P0,Implemented,,,Schema
TC-225,Database,Models,BDDRun model,Store execution results with screenshots / report URLs / retry info,P0,Implemented,,,Schema
TC-226,Database,Models,BDDStepLibrary model,Store reusable step patterns with usage tracking,P0,Implemented,,,Schema
TC-227,Database,Models,BDDSchedule model,Store cron schedules for automated runs,P1,Implemented,,,Schema
TC-228,Database,Models,ScreenplayAction model,Store low-level interaction definitions,P1,Implemented,,,Schema
TC-229,Database,Models,ScreenplayQuestion model,Store assertion/verification definitions,P1,Implemented,,,Schema
TC-230,Database,Models,ScreenplayTask model,Store composed business-level task definitions,P1,Implemented,,,Schema
TC-231,Multi-Tenancy,Isolation,Organization-scoped feature queries,Filter features by organizationId,P0,Implemented,,,Security
TC-232,Multi-Tenancy,Isolation,Organization-scoped run queries,Filter runs by organizationId,P0,Implemented,,,Security
TC-233,Multi-Tenancy,Isolation,Organization-scoped step library,Share step library within organization,P0,Implemented,,,Security
TC-234,Multi-Tenancy,Isolation,User ownership enforcement,Users can only access their own resources,P0,Implemented,,,Security
TC-235,Authentication,JWT,Require auth on all endpoints,All endpoints except SSE and reports require JWT token,P0,Implemented,,,Security
TC-236,Authentication,JWT,SSE token via query parameter,Support token=jwt in SSE URL since EventSource cant send headers,P0,Implemented,,,Security
